STB,Analista,Turno,Fecha,Canal,Video,Audio Pri,Audio Sec,Logo,EPG,Novedad
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 166 - World HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 167 - HGTV HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 168 - Science HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 169 - Turbo HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 200 - RCN","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 201 - Caracol","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 238 - WinPromo","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 239 - Win + HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 240 - Win +","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 419 - Univmas Promo","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 420 - UniPrem HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 421 - UniCine HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 422 - UniCom HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 423 - UniCrime HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 424 - UniReal HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 449 - HBO Promo","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 450 - HBO 2 HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 451 - HBO HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 453 - HBO+ HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 454 - HBO Sign HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 455 - HBO Fami HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 457 - HBO Xtrem HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 458 - HBO Mundi","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 459 - HBO Pop HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 499 - HotPackPromo","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 500 - Playboy HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 501 - SEXY HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 502 - Venus","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 503 - Penthouse","V OK","A1 OK","N/A","L OK","E OK",""
"Kaon VMM1003","Laura emilia ","T2","12/7/2026, 18:50:39","Canal 02 - InfoTigo","V OK","A1 OK","N/A","L OK","E OK",""
"Kaon VMM1003","Laura emilia ","T2","12/7/2026, 18:50:39","Canal 03 - City TV","V OK","A1 OK","A2 OK","L OK","E OK",""
"Kaon VMM1003","Laura emilia ","T2","12/7/2026, 18:50:39","Canal 04 - InstHD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Kaon VMM1003","Laura emilia ","T2","12/7/2026, 18:50:39","Canal 05 - TAntioqHD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Kaon VMM1003","Laura emilia ","T2","12/7/2026, 18:50:39","Canal 06 - TMedellHD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Kaon VMM1003","Laura emilia ","T2","12/7/2026, 18:50:39","Canal 07 - Caracol HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Kaon VMM1003","Laura emilia ","T2","12/7/2026, 18:50:39","Canal 08 - Canal1 HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Kaon VMM1003","Laura emilia ","T2","12/7/2026, 18:50:39","Canal 09 - RCN HD","V OK","A1 OK","A2 OK","L OK","E OK",""
